symbol,orderId,side,realizedPnl,commission,time,telegram_id
BCHUSDT,11919969793,BUY,0.0,0.03379456,2021-05-04 03:50:40,101151807
BNBUSDT,30757958011,BUY,0.0,0.03340974,2021-05-04 03:51:37,101151807
BNBUSDT,30759615170,SELL,1.7407,0.03410602,2021-05-04 04:17:51,101151807
BNBUSDT,30760669858,SELL,-0.0078,0.03340662,2021-05-04 05:22:48,101151807
BCHUSDT,11921019126,SELL,1.2083,0.03427787,2021-05-04 12:23:11,101151807
BCHUSDT,11930274684,SELL,3.99986,0.03539450,2021-05-04 13:19:04,101151807
BNBUSDT,30780099271,BUY,0.0,0.03378623,2021-05-04 17:36:16,101151807
BCHUSDT,11937086391,BUY,0.0,0.03399484,2021-05-04 17:37:03,101151807
ETHUSDT,8389765496453638970,BUY,0.0,0.03300720,2021-05-04 18:59:23,101151807
ETHUSDT,8389765496462911428,SELL,2.73525,0.03345410,2021-05-04 21:04:18,101151807
ETHUSDT,8389765496472612822,SELL,-0.02002,0.03364639,2021-05-05 02:49:50,101151807
BCHUSDT,11937832496,SELL,1.677,0.03446914,2021-05-05 03:30:32,101151807
BCHUSDT,11949476451,SELL,5.24262,0.03628839,2021-05-05 03:59:02,101151807
BNBUSDT,30783580086,SELL,1.84254,0.03577459,2021-05-05 10:40:41,101151807
BNBUSDT,30831517815,SELL,1.86277,0.03327999,2021-05-06 03:26:09,101151807
BCHUSDT,11670694032,SELL,3.3456,0.03350332,2021-04-23 04:58:29,141746211
ETHUSDT,8389765495751982176,BUY,0.0,0.03128225,2021-04-23 05:25:46,141746211
BCHUSDT,11669698623,BUY,0.0,0.03216508,2021-04-23 04:50:14,141746211
ETHUSDT,8389765495759655507,SELL,4.31748,0.03258072,2021-04-23 05:52:52,141746211
BCHUSDT,11664579612,SELL,0.07224,0.00070574,2021-04-23 00:21:30,141746211
BCHUSDT,11662887443,BUY,0.0,0.03198106,2021-04-23 00:04:49,141746211
BCHUSDT,11671508419,BUY,0.0,0.03150380,2021-04-23 05:24:01,141746211
BCHUSDT,11671749967,SELL,4.35568,0.03324607,2021-04-23 05:31:00,141746211
ETHUSDT,8389765495761934735,SELL,-0.01406,0.03170515,2021-04-23 08:18:21,141746211
BCHUSDT,11665034302,SELL,-0.0047,0.03180997,2021-04-23 03:04:58,141746211
BCHUSDT,11664579612,SELL,3.35823,0.03281672,2021-04-23 00:21:30,141746211
BNBUSDT,30318975814,BUY,0.0,0.03143127,2021-04-22 23:28:14,141746211
BCHUSDT,11670962218,SELL,-0.03876,0.03214958,2021-04-23 05:16:31,141746211
BNBUSDT,30360692824,SELL,-5.96316,0.06047728,2021-04-23 12:14:48,141746211
BCHUSDT,11681504982,SELL,7.74704,0.03460262,2021-04-23 12:15:09,141746211
ETHUSDT,8389765495933459408,BUY,0.0,0.03362066,2021-04-26 00:36:17,141746211
BCHUSDT,11735421473,BUY,0.0,0.03254499,2021-04-26 00:45:28,141746211
ETHUSDT,8389765495944517959,SELL,2.79794,0.03430320,2021-04-26 01:15:55,141746211
BCHUSDT,11739597759,SELL,4.02192,0.03429712,2021-04-26 02:05:13,141746211
ETHUSDT,8389765495946839190,SELL,8.71221,0.03754218,2021-04-26 03:15:55,141746211
BCHUSDT,11741066258,SELL,5.26368,0.01586899,2021-04-26 09:14:26,141746211
BCHUSDT,11741066258,SELL,7.12595,0.02148848,2021-04-26 09:14:26,141746211
BNBUSDT,30599461975,BUY,0.0,0.03650329,2021-04-29 20:00:16,141746211
BNBUSDT,30604840276,SELL,2.50176,0.03750400,2021-04-29 23:32:09,141746211
BNBUSDT,30629466382,SELL,7.12208,0.03935212,2021-04-30 09:47:26,141746211
BCHUSDT,11919971382,BUY,0.0,0.03754754,2021-05-04 03:50:35,141746211
BNBUSDT,30757962569,BUY,0.0,0.03723716,2021-05-04 03:51:40,141746211
BNBUSDT,30759616589,SELL,1.8242,0.03668280,2021-05-04 04:17:22,141746211
BNBUSDT,30760655140,SELL,-0.0057,0.03851892,2021-05-04 05:22:51,141746211
BCHUSDT,11921012714,SELL,1.49088,0.03834048,2021-05-04 12:23:40,141746211
BCHUSDT,11930289894,SELL,4.32535,0.03908110,2021-05-04 13:19:04,141746211
BNBUSDT,30780104839,BUY,0.0,0.03755412,2021-05-04 17:36:16,141746211
BCHUSDT,11937088129,BUY,0.0,0.03770496,2021-05-04 17:37:03,141746211
BCHUSDT,11937830377,SELL,1.86432,0.03845068,2021-05-04 17:55:24,141746211
BCHUSDT,11938296720,SELL,-0.05184,0.03768422,2021-05-04 18:07:42,141746211
ETHUSDT,8389765496453636048,BUY,0.0,0.03689325,2021-05-04 18:59:23,141746211
BCHUSDT,11938600103,BUY,0.0,0.03780528,2021-05-04 19:01:51,141746211
BCHUSDT,11939874764,SELL,1.92506,0.03876339,2021-05-04 19:05:01,141746211
BCHUSDT,11939948966,SELL,-0.043,0.03760000,2021-05-04 19:44:00,141746211
